year,team1_Name,team2_Name,winningTeam,mapName,team1Score,team2Score,team1Agents,team2Agents,agentsPicked
2022,FNATIC,FunPlus Phoenix,FunPlus Phoenix,Ascent,5,13,"Chamber, Fade, Kayo, Omen, Raze","Chamber, Fade, Kayo, Omen, Sage","Fade, Raze, Omen, Kayo, Chamber, Fade, Kayo, Sage, Chamber, Omen"
2022,FNATIC,FunPlus Phoenix,FNATIC,Icebox,13,10,"Chamber, Killjoy, Sage, Sova, Viper","Chamber, Fade, Kayo, Sage, Viper","Sage, Killjoy, Sova, Chamber, Viper, Viper, Sage, Kayo, Chamber, Fade"
2022,Team Liquid,BIG,Team Liquid,Icebox,13,5,"Fade, Omen, Raze, Sage, Viper","Chamber, Jett, Omen, Sova, Viper","Viper, Sage, Omen, Fade, Raze, Jett, Viper, Chamber, Sova, Omen"
2022,Team Liquid,BIG,Team Liquid,Split,13,7,"Astra, Breach, Cypher, Omen, Raze","Breach, Chamber, Fade, Omen, Raze","Astra, Omen, Cypher, Raze, Breach, Breach, Raze, Omen, Fade, Chamber"
2022,Guild Esports,M3 Champions,Guild Esports,Ascent,13,9,"Jett, Kayo, Killjoy, Omen, Sova","Astra, Chamber, Jett, Kayo, Sova","Jett, Killjoy, Sova, Kayo, Omen, Sova, Astra, Chamber, Jett, Kayo"
2022,Guild Esports,M3 Champions,Guild Esports,Haven,13,6,"Breach, Jett, Killjoy, Omen, Sova","Chamber, Jett, Kayo, Omen, Sova","Sova, Jett, Breach, Omen, Killjoy, Chamber, Omen, Jett, Sova, Kayo"
2022,G2 Esports,FOKUS,FOKUS,Fracture,14,12,"Breach, Brimstone, Chamber, Kayo, Neon","Breach, Brimstone, Cypher, Neon, Raze","Kayo, Neon, Chamber, Breach, Brimstone, Brimstone, Breach, Neon, Cypher, Raze"
2022,G2 Esports,FOKUS,G2 Esports,Icebox,13,11,"Chamber, Killjoy, Sage, Sova, Viper","Chamber, Jett, Kayo, Sova, Viper","Sova, Sage, Chamber, Viper, Killjoy, Chamber, Viper, Sova, Kayo, Jett"
2022,BBL Esports,Team Liquid,Team Liquid,Fracture,14,16,"Breach, Brimstone, Chamber, Neon, Sage","Astra, Breach, Cypher, Raze, Skye","Sage, Neon, Chamber, Brimstone, Breach, Astra, Raze, Breach, Skye, Cypher"
2022,BBL Esports,Team Liquid,Team Liquid,Split,9,13,"Breach, Chamber, Omen, Raze, Sage","Astra, Breach, Cypher, Omen, Raze","Raze, Breach, Omen, Chamber, Sage, Raze, Omen, Astra, Cypher, Breach"
