year,team1Encoded,team2Encoded,encodedMapName,team1Score,team2Score,agent1Encoded,agent2Encoded,agent3Encoded,agent4Encoded,agent5Encoded,agent6Encoded,agent7Encoded,agent8Encoded,agent9Encoded,agent10Encoded,team1Agents,team2Agents
2021,14,37,7,13,3,8,2,21,14,16,16,6,7,14,8,"8, 2, 21, 14, 16","16, 6, 7, 14, 8"
2021,14,37,2,13,4,11,16,13,14,8,21,13,19,11,14,"11, 16, 13, 14, 8","21, 13, 19, 11, 14"
2021,42,14,2,13,3,14,19,21,13,11,11,16,2,8,14,"14, 19, 21, 13, 11","11, 16, 2, 8, 14"
2021,42,14,3,7,13,21,1,14,3,11,8,14,3,21,11,"21, 1, 14, 3, 11","8, 14, 3, 21, 11"
2021,42,14,7,14,12,3,2,14,11,16,14,21,16,8,2,"3, 2, 14, 11, 16","14, 21, 16, 8, 2"
2021,40,21,7,13,6,3,21,8,7,16,2,16,6,8,21,"3, 21, 8, 7, 16","2, 16, 6, 8, 21"
2021,40,21,8,5,13,8,2,1,3,21,21,2,8,16,19,"8, 2, 1, 3, 21","21, 2, 8, 16, 19"
2021,40,21,4,10,13,16,12,11,19,13,11,6,21,14,13,"16, 12, 11, 19, 13","11, 6, 21, 14, 13"
2021,40,42,2,16,18,11,21,14,1,13,21,14,19,13,11,"11, 21, 14, 1, 13","21, 14, 19, 13, 11"
2021,40,42,7,4,13,8,7,21,3,16,2,16,11,14,3,"8, 7, 21, 3, 16","2, 16, 11, 14, 3"
2021,40,42,1,13,9,14,11,16,3,19,19,11,16,14,3,"14, 11, 16, 3, 19","19, 11, 16, 14, 3"
2021,40,42,4,7,13,11,16,19,12,13,1,11,16,19,7,"11, 16, 19, 12, 13","1, 11, 16, 19, 7"
2021,21,42,2,13,1,11,14,13,21,6,19,21,13,14,11,"11, 14, 13, 21, 6","19, 21, 13, 14, 11"
2021,21,42,8,11,13,21,16,8,2,19,3,16,2,19,11,"21, 16, 8, 2, 19","3, 16, 2, 19, 11"
2021,21,42,7,5,13,6,2,8,21,16,3,11,16,2,14,"6, 2, 8, 21, 16","3, 11, 16, 2, 14"
2021,21,42,4,3,13,21,6,11,13,14,7,19,16,8,11,"21, 6, 11, 13, 14","7, 19, 16, 8, 11"
2021,21,40,7,5,13,3,11,14,2,16,21,8,7,16,3,"3, 11, 14, 2, 16","21, 8, 7, 16, 3"
2021,21,40,2,9,13,21,13,11,6,14,21,14,11,6,2,"21, 13, 11, 6, 14","21, 14, 11, 6, 2"
2021,14,62,2,13,5,21,16,14,11,2,14,2,8,6,1,"21, 16, 14, 11, 2","14, 2, 8, 6, 1"
2021,14,62,7,9,13,14,21,2,8,16,14,8,16,2,6,"14, 21, 2, 8, 16","14, 8, 16, 2, 6"
2021,14,62,4,13,8,21,11,2,16,6,14,8,2,6,16,"21, 11, 2, 16, 6","14, 8, 2, 6, 16"
